%
Copyright (C) 2021  Intel Corporation. All rights reserved.
Your use of Intel Corporation's design tools, logic functions 
and other software and tools, and any partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Intel Program License 
Subscription Agreement, the Intel Quartus Prime License Agreement,
the Intel FPGA IP License Agreement, or other applicable license
agreement, including, without limitation, that your use is for
the sole purpose of programming logic devices manufactured by
Intel and sold by Intel or its authorized distributors.  Please
refer to the applicable agreement for further details, at
https://fpgasoftware.intel.com/eula.
%

GROUP CREATE bit_num[31..0] = bit_num[31] bit_num[30] bit_num[29] bit_num[28] bit_num[27] bit_num[26] bit_num[25] bit_num[24] bit_num[23] bit_num[22] bit_num[21] bit_num[20] bit_num[19] bit_num[18] bit_num[17] bit_num[16] bit_num[15] bit_num[14] bit_num[13] bit_num[12] bit_num[11] bit_num[10] bit_num[9] bit_num[8] bit_num[7] bit_num[6] bit_num[5] bit_num[4] bit_num[3] bit_num[2] bit_num[1] bit_num[0] ;
INPUTS CLK_10M;
OUTPUTS GSCLK state.0000 state.0001 state.0010 state.0011 state.0100 state.0101 state.0110 state.1000 state.1001 LAT SCLK SDOs[0] SDOs[1] SDOs[2] SDOs[3] bit_num[31..0];
UNIT ns;
RADIX HEX;
PATTERN
            0.0> 0 = X X X X X X X X X X X X X X X X XXXXXXXX 
  25000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F3 
  25500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F3 
  26000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F3 
  26500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F2 
  27000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F2 
  27500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F2 
  28000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F2 
  28500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F1 
  29000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F1 
  29500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F1 
  30000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F1 
  30500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F0 
  31000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F0 
  31500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001F0 
  32000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001F0 
  32500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EF 
  33000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EF 
  33500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EF 
  34000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EF 
  34500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EE 
  35000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EE 
  35500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EE 
  36000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EE 
  36500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001ED 
  37000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001ED 
  37500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001ED 
  38000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001ED 
  38500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EC 
  39000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EC 
  39500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EC 
  40000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EC 
  40500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EB 
  41000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EB 
  41500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EB 
  42000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EB 
  42500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EA 
  43000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EA 
  43500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EA 
  44000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EA 
  44500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E9 
  45000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E9 
  45500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E9 
  46000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E9 
  46500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E8 
  47000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E8 
  47500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E8 
  48000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E8 
  48500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E7 
  49000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E7 
  49500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E7 
  50000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E7 
  50500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E6 
  51000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E6 
  51500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E6 
  52000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E6 
  52500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E5 
  53000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E5 
  53500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E5 
  54000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E5 
  54500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E4 
  55000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E4 
  55500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E4 
  56000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E4 
  56500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E3 
  57000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E3 
  57500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E3 
  58000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E3 
  58500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E2 
  59000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E2 
  59500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E2 
  60000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E2 
  60500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E1 
  61000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E1 
  61500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E1 
  62000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E1 
  62500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E0 
  63000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E0 
  63500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001E0 
  64000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001E0 
  64500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001DF 
  65000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001DF 
  65500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001DF 
  66000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001DF 
  66500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001DE 
  67000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001DE 
  67500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001DE 
  68000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001DE 
  68500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001DD 
  69000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001DD 
  69500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001DD 
  70000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001DD 
  70500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001DC 
  71000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001DC 
  71500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001DC 
  72000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001DC 
  72500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001DB 
  73000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001DB 
  73500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001DB 
  74000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001DB 
  74500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001DA 
  75000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001DA 
  75500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001DA 
  76000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001DA 
  76500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D9 
  77000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D9 
  77500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D9 
  78000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D9 
  78500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D8 
  79000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D8 
  79500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D8 
  80000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D8 
  80500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D7 
  81000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D7 
  81500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D7 
  82000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D7 
  82500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D6 
  83000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D6 
  83500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D6 
  84000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D6 
  84500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D5 
  85000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D5 
  85500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D5 
  86000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D5 
  86500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D4 
  87000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D4 
  87500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D4 
  88000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D4 
  88500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D3 
  89000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D3 
  89500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D3 
  90000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D3 
  90500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D2 
  91000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D2 
  91500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D2 
  92000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D2 
  92500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D1 
  93000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D1 
  93500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D1 
  94000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D1 
  94500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D0 
  95000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001D0 
  95500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D0 
  96000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001D0 
  96500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001CF 
  97000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001CF 
  97500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001CF 
  98000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001CF 
  98500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001CE 
  99000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001CE 
  99500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001CE 
 100000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001CE 
 100500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001CD 
 101000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001CD 
 101500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001CD 
 102000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001CD 
 102500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001CC 
 103000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001CC 
 103500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001CC 
 104000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001CC 
 104500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001CB 
 105000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001CB 
 105500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001CB 
 106000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001CB 
 106500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001CA 
 107000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001CA 
 107500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001CA 
 108000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001CA 
 108500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001C9 
 109000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001C9 
 109500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001C9 
 110000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001C9 
 110500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001C8 
 111000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001C8 
